"","p_val","avg_diff","pct.1","pct.2","pct.diff"
"Trp53rkb",2.11597699254178e-06,-0.0181600009226032,0.157,0.08,0.077
"Rnasek",6.34239338204544e-07,-0.124627857852255,0.557,0.481,0.0760000000000001
"Dnaja4",2.86412606021744e-07,-0.151900319974857,0.414,0.342,0.072
"Atp5c1",8.07953945245811e-08,-0.342459580001719,0.929,0.858,0.0710000000000001
"Eefsec",9.39372066558125e-08,-0.032270751342009,0.143,0.072,0.071
"Cpe",2.05244092671871e-07,-0.263155247923504,0.986,0.915,0.071
"Fdft1",1.53602261421757e-09,-0.373181244591405,0.886,0.818,0.0680000000000001
"Etl4",5.77397978924858e-10,-0.146206067387483,0.329,0.264,0.065
"Tubb4a",1.36720557816498e-06,-0.132793209221809,0.529,0.464,0.065
"Auh",8.4377677021298e-07,-0.385309298856694,0.814,0.751,0.0629999999999999
"Hmgcs1",1.41085757645899e-07,-0.310710292494709,0.9,0.838,0.0620000000000001
"Pgm2l1",2.201678033397e-11,-0.433598755802427,0.957,0.898,0.0589999999999999
"Mtch1",1.69098593610416e-06,-0.246880675482542,0.971,0.913,0.0579999999999999
"Dusp7",1.19608894339903e-07,-0.0276771327511906,0.171,0.115,0.056
"Selenop",7.2441042675437e-09,-0.133019220074954,0.129,0.075,0.054
"Rnf168",1.82607717612215e-06,-0.0658795464306227,0.286,0.232,0.054
"Gm21596",1.00231650293031e-06,-0.0691793479126674,0.3,0.247,0.053
"BC051077",2.06706733829314e-09,-0.203438378052827,0.614,0.561,0.0529999999999999
"Gcm1",1.83157077321989e-08,0.080050237736245,0.129,0.077,0.052
"Olfr733",5.20848818862136e-09,0.114603725180425,0.114,0.065,0.049
"Mapkapk2",7.68460972715372e-07,-0.0832294552881712,0.329,0.282,0.047
"Cdadc1",1.91963286348783e-06,-0.0796954075723892,0.329,0.282,0.047
"Tbc1d14",2.73575208254785e-10,-0.144211286811156,0.414,0.367,0.047
"Ldhb",2.74728441766649e-10,-0.442788851838668,0.929,0.885,0.044
"Pecam1",4.40754849627034e-09,-0.0862497215540928,0.271,0.227,0.044
"Zfyve9",3.09075825064732e-08,0.425248406615393,0.371,0.327,0.044
"Olfr1535",1.31796636959939e-06,-0.0371962786829756,0.229,0.187,0.042
"Smg6",2.30073830151094e-06,-0.186089489856815,0.429,0.389,0.04
"Gm28439",1.1014479106481e-06,-0.403912511420261,0.843,0.805,0.0379999999999999
"Mdh1",1.68323561284287e-07,-0.292131764611685,0.986,0.95,0.036
"Mc1r",1.93964094573752e-06,-0.0754717134078182,0.214,0.182,0.032
"Vps54",2.02680059288286e-06,-0.110001574933021,0.171,0.142,0.029
"Cope",6.08029609479978e-08,-0.234793365209313,0.543,0.516,0.027
"Dcbld2",8.42570942786479e-07,-0.176821680983652,0.457,0.431,0.026
"Mast1",3.16253881730854e-07,-0.11132114207704,0.414,0.389,0.025
"Atp1b1",3.32419749957792e-08,0.190232085234543,1,0.983,0.017
"Cycs",9.08240830835028e-07,-0.148101822000451,0.414,0.397,0.017
"mt.Atp8",1.76472099304036e-06,-0.0741563631527845,0.243,0.229,0.014
"Gpd2",2.76457483324765e-08,-0.306859961229085,0.443,0.434,0.00900000000000001
"Slc18a2",1.46083283175506e-15,0.537486558418965,0.986,0.98,0.00600000000000001
"Coa5",9.9559532246703e-07,-0.18182980052292,0.343,0.339,0.004
"Snca",2.89209597910818e-14,-0.551792511761842,0.843,0.84,0.003
"Sorbs2",3.01408249969311e-07,-0.150640567498395,0.343,0.342,0.001
"Spock3",6.03413281200573e-07,-0.489045035579587,0.729,0.728,0.001
"Mocs2",7.49182515719764e-08,-0.24990769920136,0.514,0.516,-0.002
"Snrnp48",1.55674703457887e-08,-0.266301749231645,0.343,0.347,-0.00399999999999995
"Olfm3",5.48846342507656e-07,-0.131499080682726,0.243,0.247,-0.004
